points,image_gen,image_overlay,html_overlay,google_maps,google_earth
1,0.37225,0.3029,0.14845,1.2851,2.40255
2,0.34105,0.3003,0.1494,1.1398,2.1525
4,0.3532,0.31365,0.15095,1.18335,2.2523
8,0.387,0.30875,0.1433,1.16855,2.2526
16,0.3859,0.29765,0.1562,1.18835,2.403
32,0.31675,0.30315,0.1716,1.34745,2.153
64,0.32795,0.29355,0.15865,1.5299,2.553
128,0.31635,0.30895,0.168,2.24245,2.6034
256,0.32965,0.2972,0.19645,4.16945,2.704
512,0.33115,0.3032,0.3077,9.96335,2.5052
1024,0.34415,0.3335,0.66925,40.8237,2.65765
2048,0.35665,0.333,1.4398,149.11635,2.512
4096,0.4027,0.3949,5.54,435.011,3.0945
8192,0.47435,0.46615,24.9883,,4.745
16384,0.6901,0.61575,114.613,,10.9505
32768,0.9468,0.9045,598.048,,38.0665
65536,1.5084,1.5052,,,144.4265
131072,2.6988,2.66485,,,577.2625
262144,5.1429,4.9853,,,
524288,9.8968,9.67975,,,
1048576,19.5586,18.97765,,,
