points,image_gen,image_overlay,html_overlay,google_maps,google_earth
1,180.941,181.164,181.108,235.041,0.32
2,180.969,181.17,181.219,235.074,0.508
4,180.997,181.183,181.441,235.14,0.884
8,181.123,181.203,181.885,235.272,1.636
16,181.347,181.25,182.773,235.536,3.141
32,181.724,181.323,184.549,236.064,6.149
64,182.348,181.44,188.101,237.12,12.165
128,183.254,181.632,195.205,239.175,24.084
256,184.427,181.84,209.365,243.346,47.166
512,184.853,181.86,237.734,251.605,91.868
1024,185.045,181.88,294.533,268.202,181.455
2048,187.255,182.636,407.949,301.382,360.599
4096,188.337,182.726,633.395,367.713,718.805
8192,185.19,182.814,1085.281,500.394,1435.279
16384,176.114,182.993,1992.42,764.04,2864.772
32768,150.295,182.676,3806.676,1276.33,5693.776
65536,95.201,182.245,7435.236,2285.657,11325.598
131072,95.201,182.245,14689.475,4336.306,22648.889
262144,95.201,182.245,29197.989,8437.604,45295.469
524288,95.201,182.245,58215.171,16640.159,90588.547
1048576,95.201,182.245,116248.172,33045.282,181174.754
