points,image_gen,image_overlay,html_overlay,google_maps,google_earth
1,168,169,167,173,426
2,168,169,167,173,425
4,167,169,169,173,422
8,167,169,169,173,421
16,168,169,167,173,428
32,168,167,169,173,426
64,168,170,169,173,427
128,168,169,169,176,423
256,168,169,169,178,426
512,168,169,169,184,431
1024,168,169,169,195,425
2048,168,169,170,219,435
4096,168,167,173,264,451
8192,168,169,179,,465
16384,169,169,190,,568
32768,169,169,216,,560
65536,169,169,,,823
131072,169,169,,,
262144,169,169,,,
524288,169,169,,,
1048576,169,169,,,
