points,image_gen,image_overlay,html_overlay,google_maps,google_earth
1,0.37225,0.14845,0.3029,1.2851,2.40255
2,0.34105,0.1494,0.3003,1.1398,2.1525
4,0.3532,0.15095,0.31365,1.18335,2.2523
8,0.387,0.1433,0.30875,1.16855,2.2526
16,0.3859,0.1562,0.29765,1.18835,2.403
32,0.31675,0.1716,0.30315,1.34745,2.153
64,0.32795,0.15865,0.29355,1.5299,2.553
128,0.31635,0.168,0.30895,2.24245,2.6034
256,0.32965,0.19645,0.2972,4.16945,2.704
512,0.33115,0.3077,0.3032,9.96335,2.5052
1024,0.34415,0.66925,0.3335,40.8237,2.65765
2048,0.35665,1.4398,0.333,149.11635,2.512
4096,0.4027,5.54,0.3949,435.011,3.0945
8192,0.47435,24.9883,0.46615,,4.745
16384,0.6901,114.613,0.61575,,10.9505
32768,0.9468,598.048,0.9045,,38.0665
65536,1.5084,,1.5052,,144.4265
131072,2.6988,,2.66485,,577.2625
262144,5.1429,,4.9853,,
524288,9.8968,,9.67975,,
1048576,19.5586,,18.97765,,
