points,image_gen,image_overlay,html_overlay,google_maps,google_earth
1,0.2765,0.0425,0.1645,0.00205,0.00255
2,0.234,0.045,0.161,0.002,0.0025
4,0.265,0.048,0.17,0.00205,0.0023
8,0.2975,0.043,0.173,0.002,0.0026
16,0.294,0.045,0.157,0.00205,0.003
32,0.2285,0.0515,0.162,0.002,0.003
64,0.2385,0.048,0.1555,0.00215,0.003
128,0.23,0.049,0.17,0.00275,0.0034
256,0.241,0.049,0.1615,0.003,0.004
512,0.2415,0.063,0.1695,0.00305,0.0052
1024,0.2565,0.067,0.1935,0.0044,0.00765
2048,0.265,0.1065,0.199,0.007,0.012
4096,0.312,0.1595,0.2615,0.011,0.0445
8192,0.3815,0.2015,0.33,0.0275,0.095
16384,0.599,0.3475,0.477,0.0445,0.1505
32768,0.857,0.953,0.762,0.1115,0.2165
65536,1.4205,1.962,1.3615,0.1795,0.4265
131072,2.61,3.557,2.5295,0.559,1.2625
262144,5.052,6.084,4.8425,0.865,2.508
524288,9.8095,10.671,9.545,1.9315,4.102
1048576,19.4725,21.8175,18.839,3.4455,7.701
