points, image_gen, image_overlay, html_overlay, google_maps, google_earth
1, 180.941, 181.108, 181.164, 235.041, 0.32
2, 180.969, 181.219, 181.17, 235.074, 0.508
4, 180.997, 181.441, 181.183, 235.14, 0.884
8, 181.123, 181.885, 181.203, 235.272, 1.636
16, 181.347, 182.773, 181.25, 235.536, 3.141
32, 181.724, 184.549, 181.323, 236.064, 6.149
64, 182.348, 188.101, 181.44, 237.12, 12.165
128, 183.254, 195.205, 181.632, 239.175, 24.084
256, 184.427, 209.365, 181.84, 243.346, 47.166
512, 184.853, 237.734, 181.86, 251.605, 91.868
1024, 185.045, 294.533, 181.88, 268.202, 181.455
2048, 187.255, 407.949, 182.636, 301.382, 360.599
4096, 188.337, 633.395, 182.726, 367.713, 718.805
8192, 185.19, 1085.281, 182.814, 500.394, 1435.279
16384, 176.114, 1992.42, 182.993, 764.04, 2864.772
32768, 150.295, 3806.676, 182.676, 1276.33, 5693.776
65536, 95.201, 7435.236, 182.245, 2285.657, 11325.598
131072, 95.201, 14689.475, 182.245, 4336.306, 22648.889
262144, 95.201, 29197.989, 182.245, 8437.604, 45295.469
524288, 95.201, 58215.171, 182.245, 16640.159, 90588.547
1048576, 95.201, 116248.172, 182.245, 33045.282, 181174.754
