points,image_gen,image_overlay,html_overlay,google_maps,google_earth
1,24.8,16.4,16.5,37.4,118
2,24.8,16.6,16.2,37.9,112
4,25.4,18.1,17.3,38.1,119
8,23.2,17.5,16.3,38.4,117
16,23.7,16.8,16.3,38,112
32,23.9,19.7,15.4,38.2,120
64,26.8,18.3,16.4,38.8,111
128,23.7,18.4,16.3,40.2,117
256,24.6,17.5,16.4,42.7,110
512,24.5,16.4,16.3,48.7,114
1024,27.3,17.1,16.3,60.2,112
2048,25.9,32.3,16.4,82.6,115
4096,25.9,34.4,16.2,129,123
8192,25.9,30.3,16.3,,118
16384,24.1,41.5,16.4,,166
32768,24.4,62.1,16.3,,197
65536,26.1,,16.3,,244
131072,25.7,,16.4,,
262144,25.4,,17.3,,
524288,24.3,,16.4,,
1048576,27.2,,16.4,,
